id,model,make
1,'chevrolet','chevrolet chevelle malibu'
2,'buick','buick skylark 320'
3,'plymouth','plymouth satellite'
4,'amc','amc rebel sst'
5,'ford','ford torino'
6,'ford','ford galaxie 500'
7,'chevrolet','chevrolet impala'
8,'plymouth','plymouth fury iii'
9,'pontiac','pontiac catalina'
10,'amc','amc ambassador dpl'
11,'citroen','citroen ds-21 pallas'
12,'chevrolet','chevrolet chevelle concours (sw)'
13,'ford','ford torino (sw)'
14,'plymouth','plymouth satellite (sw)'
15,'amc','amc rebel sst (sw)'
16,'dodge','dodge challenger se'
17,'plymouth','plymouth cuda 340'
18,'ford','ford mustang boss 302'
19,'chevrolet','chevrolet monte carlo'
20,'buick','buick estate wagon (sw)'
21,'toyota','toyota corona mark ii'
22,'plymouth','plymouth duster'
23,'amc','amc hornet'
24,'ford','ford maverick'
25,'datsun','datsun pl510'
26,'volkswagen','volkswagen 1131 deluxe sedan'
27,'peugeot','peugeot 504'
28,'audi','audi 100 ls'
29,'saab','saab 99e'
30,'bmw','bmw 2002'
31,'amc','amc gremlin'
32,'ford','ford f250'
33,'chevrolet','chevy c20'
34,'dodge','dodge d200'
35,'hi','hi 1200d'
36,'datsun','datsun pl510'
37,'chevrolet','chevrolet vega 2300'
38,'toyota','toyota corona'
39,'ford','ford pinto'
40,'volkswagen','volkswagen super beetle 117'
41,'amc','amc gremlin'
42,'plymouth','plymouth satellite custom'
43,'chevrolet','chevrolet chevelle malibu'
44,'ford','ford torino 500'
45,'amc','amc matador'
46,'chevrolet','chevrolet impala'
47,'pontiac','pontiac catalina brougham'
48,'ford','ford galaxie 500'
49,'plymouth','plymouth fury iii'
50,'dodge','dodge monaco (sw)'
51,'ford','ford country squire (sw)'
52,'pontiac','pontiac safari (sw)'
53,'amc','amc hornet sportabout (sw)'
54,'chevrolet','chevrolet vega (sw)'
55,'pontiac','pontiac firebird'
56,'ford','ford mustang'
57,'mercury','mercury capri 2000'
58,'opel','opel 1900'
59,'peugeot','peugeot 304'
60,'fiat','fiat 124b'
61,'toyota','toyota corolla 1200'
62,'datsun','datsun 1200'
63,'volkswagen','volkswagen model 111'
64,'plymouth','plymouth cricket'
65,'toyota','toyota corona hardtop'
66,'dodge','dodge colt hardtop'
67,'volkswagen','volkswagen type 3'
68,'chevrolet','chevrolet vega'
69,'ford','ford pinto runabout'
70,'chevrolet','chevrolet impala'
71,'pontiac','pontiac catalina'
72,'plymouth','plymouth fury iii'
73,'ford','ford galaxie 500'
74,'amc','amc ambassador sst'
75,'mercury','mercury marquis'
76,'buick','buick lesabre custom'
77,'oldsmobile','oldsmobile delta 88 royale'
78,'chrysler','chrysler newport royal'
79,'mazda','mazda rx2 coupe'
80,'amc','amc matador (sw)'
81,'chevrolet','chevrolet chevelle concours (sw)'
82,'ford','ford gran torino (sw)'
83,'plymouth','plymouth satellite custom (sw)'
84,'volvo','volvo 145e (sw)'
85,'volkswagen','volkswagen 411 (sw)'
86,'peugeot','peugeot 504 (sw)'
87,'renault','renault 12 (sw)'
88,'ford','ford pinto (sw)'
89,'datsun','datsun 510 (sw)'
90,'toyota','toyota corona mark ii (sw)'
91,'dodge','dodge colt (sw)'
92,'toyota','toyota corolla 1600 (sw)'
93,'buick','buick century 350'
94,'amc','amc matador'
95,'chevrolet','chevrolet malibu'
96,'ford','ford gran torino'
97,'dodge','dodge coronet custom'
98,'mercury','mercury marquis brougham'
99,'chevrolet','chevrolet caprice classic'
100,'ford','ford ltd'
101,'plymouth','plymouth fury gran sedan'
102,'chrysler','chrysler new yorker brougham'
