id,mpg,cylinders,edispl,horsepower,weight,accelerate,year
1,18,8,307,130,3504,12,1970
2,15,8,350,165,3693,11.5,1970
3,18,8,318,150,3436,11,1970
4,16,8,304,150,3433,12,1970
5,17,8,302,140,3449,10.5,1970
6,15,8,429,198,4341,10,1970
7,14,8,454,220,4354,9,1970
8,14,8,440,215,4312,8.5,1970
9,14,8,455,225,4425,10,1970
10,15,8,390,190,3850,8.5,1970
11,null,4,133,115,3090,17.5,1970
12,null,8,350,165,4142,11.5,1970
13,null,8,351,153,4034,11,1970
14,null,8,383,175,4166,10.5,1970
15,null,8,360,175,3850,11,1970
16,15,8,383,170,3563,10,1970
17,14,8,340,160,3609,8,1970
18,null,8,302,140,3353,8,1970
19,15,8,400,150,3761,9.5,1970
20,14,8,455,225,3086,10,1970
21,24,4,113,95,2372,15,1970
22,22,6,198,95,2833,15.5,1970
23,18,6,199,97,2774,15.5,1970
24,21,6,200,85,2587,16,1970
25,27,4,97,88,2130,14.5,1970
26,26,4,97,46,1835,20.5,1970
27,25,4,110,87,2672,17.5,1970
28,24,4,107,90,2430,14.5,1970
29,25,4,104,95,2375,17.5,1970
30,26,4,121,113,2234,12.5,1970
31,21,6,199,90,2648,15,1970
32,10,8,360,215,4615,14,1970
33,10,8,307,200,4376,15,1970
34,11,8,318,210,4382,13.5,1970
35,9,8,304,193,4732,18.5,1970
36,27,4,97,88,2130,14.5,1971
37,28,4,140,90,2264,15.5,1971
38,25,4,113,95,2228,14,1971
39,25,4,98,null,2046,19,1971
40,null,4,97,48,1978,20,1971
41,19,6,232,100,2634,13,1971
42,16,6,225,105,3439,15.5,1971
43,17,6,250,100,3329,15.5,1971
44,19,6,250,88,3302,15.5,1971
45,18,6,232,100,3288,15.5,1971
46,14,8,350,165,4209,12,1971
47,14,8,400,175,4464,11.5,1971
48,14,8,351,153,4154,13.5,1971
49,14,8,318,150,4096,13,1971
50,12,8,383,180,4955,11.5,1971
51,13,8,400,170,4746,12,1971
52,13,8,400,175,5140,12,1971
53,18,6,258,110,2962,13.5,1971
54,22,4,140,72,2408,19,1971
55,19,6,250,100,3282,15,1971
56,18,6,250,88,3139,14.5,1971
57,23,4,122,86,2220,14,1971
58,28,4,116,90,2123,14,1971
59,30,4,79,70,2074,19.5,1971
60,30,4,88,76,2065,14.5,1971
61,31,4,71,65,1773,19,1971
62,35,4,72,69,1613,18,1971
63,27,4,97,60,1834,19,1971
64,26,4,91,70,1955,20.5,1971
65,24,4,113,95,2278,15.5,1972
66,25,4,97.5,80,2126,17,1972
67,23,4,97,54,2254,23.5,1972
68,20,4,140,90,2408,19.5,1972
69,21,4,122,86,2226,16.5,1972
70,13,8,350,165,4274,12,1972
71,14,8,400,175,4385,12,1972
72,15,8,318,150,4135,13.5,1972
73,14,8,351,153,4129,13,1972
74,17,8,304,150,3672,11.5,1972
75,11,8,429,208,4633,11,1972
76,13,8,350,155,4502,13.5,1972
77,12,8,350,160,4456,13.5,1972
78,13,8,400,190,4422,12.5,1972
79,19,3,70,97,2330,13.5,1972
80,15,8,304,150,3892,12.5,1972
81,13,8,307,130,4098,14,1972
82,13,8,302,140,4294,16,1972
83,14,8,318,150,4077,14,1972
84,18,4,121,112,2933,14.5,1972
85,22,4,121,76,2511,18,1972
86,21,4,120,87,2979,19.5,1972
87,26,4,96,69,2189,18,1972
88,22,4,122,86,2395,16,1972
89,28,4,97,92,2288,17,1972
90,23,4,120,97,2506,14.5,1972
91,28,4,98,80,2164,15,1972
92,27,4,97,88,2100,16.5,1972
93,13,8,350,175,4100,13,1973
94,14,8,304,150,3672,11.5,1973
95,13,8,350,145,3988,13,1973
96,14,8,302,137,4042,14.5,1973
97,15,8,318,150,3777,12.5,1973
98,12,8,429,198,4952,11.5,1973
99,13,8,400,150,4464,12,1973
100,13,8,351,158,4363,13,1973
101,14,8,318,150,4237,14.5,1973
102,13,8,440,215,4735,11,1973
103,12,8,455,225,4951,11,1973
104,13,8,360,175,3821,11,1973
105,18,6,225,105,3121,16.5,1973
106,16,6,250,100,3278,18,1973
107,18,6,232,100,2945,16,1973
108,18,6,250,88,3021,16.5,1973
109,23,6,198,95,2904,16,1973
110,26,4,97,46,1950,21,1973
111,11,8,400,150,4997,14,1973
112,12,8,400,167,4906,12.5,1973
113,13,8,360,170,4654,13,1973
114,12,8,350,180,4499,12.5,1973
115,18,6,232,100,2789,15,1973
116,20,4,97,88,2279,19,1973
117,21,4,140,72,2401,19.5,1973
118,22,4,108,94,2379,16.5,1973
119,18,3,70,90,2124,13.5,1973
120,19,4,122,85,2310,18.5,1973
121,21,6,155,107,2472,14,1973
122,26,4,98,90,2265,15.5,1973
